City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Geraldton,-28.7667,114.6,55.13,82,0,8.05,AU,2021-09-19 23:03:50
1,Guiglo,6.5456,-7.4966,71.62,98,97,2.35,CI,2021-09-19 23:07:36
2,Mahebourg,-20.4081,57.7,64.26,61,52,10.47,MU,2021-09-19 23:07:36
3,Vaini,-21.2,-175.2,72.32,71,72,17.18,TO,2021-09-19 23:07:36
4,Lipin Bor,60.2622,37.9763,33.76,86,96,10.13,RU,2021-09-19 23:07:37
5,Ancud,-41.8697,-73.8203,49.53,85,33,7.27,CL,2021-09-19 23:07:37
6,Jamestown,42.097,-79.2353,71.24,56,1,3.44,US,2021-09-19 23:06:17
7,Punta Arenas,-53.15,-70.9167,41.11,87,40,8.05,CL,2021-09-19 23:07:37
8,Qaanaaq,77.484,-69.3632,13.3,88,88,7.43,GL,2021-09-19 23:07:38
9,Iqaluit,63.7506,-68.5145,31.46,79,91,10.02,CA,2021-09-19 23:07:38
10,Cape Town,-33.9258,18.4232,57.11,86,44,1.01,ZA,2021-09-19 23:05:53
11,Codrington,-38.2667,141.9667,48.69,78,53,21.45,AU,2021-09-19 23:07:38
12,Khatanga,71.9667,102.5,31.41,98,100,12.77,RU,2021-09-19 23:07:39
13,Busselton,-33.65,115.3333,46.09,79,0,10.94,AU,2021-09-19 23:07:39
14,New Norfolk,-42.7826,147.0587,47.91,86,83,1.01,AU,2021-09-19 23:03:42
15,Quelimane,-17.8786,36.8883,64.87,63,7,3.31,MZ,2021-09-19 23:07:39
16,Tuatapere,-46.1333,167.6833,56.82,72,49,10.13,NZ,2021-09-19 23:07:40
17,Puerto Ayora,-0.7393,-90.3518,70.56,91,75,7.0,EC,2021-09-19 23:07:40
18,Meadow Lake,34.8014,-106.5436,85.96,24,29,8.39,US,2021-09-19 23:07:40
19,Kodiak,57.79,-152.4072,48.81,70,95,6.35,US,2021-09-19 23:07:41
20,Mataura,-46.1927,168.8643,56.48,56,64,6.11,NZ,2021-09-19 23:07:41
21,Asau,46.4333,26.4,48.96,98,44,4.09,RO,2021-09-19 23:07:41
22,Albany,42.6001,-73.9662,65.01,77,5,2.21,US,2021-09-19 23:06:09
23,Wundanyi,-3.4019,38.364,58.03,86,12,9.01,KE,2021-09-19 23:07:42
24,Saldanha,-33.0117,17.9442,58.64,80,88,8.59,ZA,2021-09-19 23:07:42
25,Kaitangata,-46.2817,169.8464,53.24,62,55,4.7,NZ,2021-09-19 23:07:42
26,Muros,42.7762,-9.0603,63.23,91,49,10.45,ES,2021-09-19 23:07:43
27,Rikitea,-23.1203,-134.9692,73.96,76,4,11.83,PF,2021-09-19 23:07:43
28,Kavieng,-2.5744,150.7967,83.53,70,54,8.72,PG,2021-09-19 23:07:43
29,Barrow,71.2906,-156.7887,30.22,86,90,21.85,US,2021-09-19 23:05:03
30,Balkanabat,39.5108,54.3671,75.99,21,0,14.67,TM,2021-09-19 23:07:44
31,Plouzane,48.3833,-4.6167,58.08,93,0,3.44,FR,2021-09-19 23:07:44
32,Walvis Bay,-22.9575,14.5053,54.09,80,3,10.29,NA,2021-09-19 23:07:44
33,Pevek,69.7008,170.3133,30.76,74,93,6.71,RU,2021-09-19 23:07:44
34,Brae,60.3964,-1.353,53.51,91,100,11.01,GB,2021-09-19 23:07:45
35,Hasaki,35.7333,140.8333,68.4,66,53,16.75,JP,2021-09-19 23:03:53
36,Port Macquarie,-31.4333,152.9167,64.36,35,0,3.44,AU,2021-09-19 23:07:45
37,Santiago Del Estero,-27.7951,-64.2615,80.8,39,100,8.14,AR,2021-09-19 23:07:43
38,Butaritari,3.0707,172.7902,83.05,69,65,14.65,KI,2021-09-19 23:03:24
39,Hilo,19.7297,-155.09,79.61,79,90,0.0,US,2021-09-19 23:07:39
